7.500000000000000000e-01  1.420700000000000018e-01  7.834999999999999951e-03
8.000000000000000444e-01  1.443300000000000138e-01  7.762000000000000670e-03
8.499999999999999778e-01  1.474699999999999900e-01  7.689000000000000522e-03
9.000000000000000222e-01  1.551299999999999901e-01  7.616000000000000374e-03
9.499999999999999556e-01  1.608499999999999930e-01  7.543000000000000226e-03
1.000000000000000000e+00  1.569000000000000117e-01  7.470000000000000077e-03
1.050000000000000044e+00  1.567199999999999982e-01  7.391000000000000000e-03
1.100000000000000089e+00  1.682099999999999984e-01  7.311999999999999923e-03
1.149999999999999911e+00  1.705599999999999894e-01  7.232999999999999846e-03
1.199999999999999956e+00  1.674900000000000000e-01  7.153999999999999769e-03
1.250000000000000000e+00  1.614700000000000024e-01  7.074999999999999692e-03
1.300000000000000044e+00  1.677099999999999980e-01  6.996000000000000482e-03
1.350000000000000089e+00  1.661999999999999866e-01  6.917000000000000405e-03
1.399999999999999911e+00  1.678399999999999892e-01  6.838000000000000328e-03
1.449999999999999956e+00  1.754999999999999893e-01  6.759000000000000251e-03
1.500000000000000000e+00  1.653000000000000025e-01  6.680000000000000174e-03
1.550000000000000044e+00  1.655999999999999972e-01  6.595000000000000168e-03
1.600000000000000089e+00  1.679499999999999882e-01  6.510000000000000162e-03
1.649999999999999911e+00  1.803299999999999903e-01  6.425000000000000155e-03
1.699999999999999956e+00  1.735299999999999898e-01  6.340000000000000149e-03
1.750000000000000000e+00  1.741399999999999892e-01  6.255000000000000143e-03
1.800000000000000044e+00  1.752299999999999969e-01  6.170000000000000137e-03
1.850000000000000089e+00  1.776000000000000079e-01  6.085000000000000131e-03
1.899999999999999911e+00  1.777900000000000036e-01  6.000000000000000125e-03
1.949999999999999956e+00  1.763099999999999945e-01  5.915000000000000119e-03
2.000000000000000000e+00  1.702899999999999969e-01  5.830000000000000113e-03
2.049999999999999822e+00  1.675000000000000100e-01  5.764000000000000026e-03
2.100000000000000089e+00  1.544300000000000117e-01  5.697999999999999940e-03
2.149999999999999911e+00  1.461800000000000044e-01  5.631999999999999854e-03
2.200000000000000178e+00  1.370200000000000029e-01  5.565999999999999767e-03
2.250000000000000000e+00  1.391199999999999937e-01  5.499999999999999681e-03
2.299999999999999822e+00  1.353600000000000081e-01  5.434000000000000462e-03
2.350000000000000089e+00  1.250799999999999967e-01  5.368000000000000375e-03
2.399999999999999911e+00  1.213100000000000012e-01  5.302000000000000289e-03
2.450000000000000178e+00  1.221899999999999931e-01  5.236000000000000203e-03
2.500000000000000000e+00  1.144099999999999978e-01  5.170000000000000116e-03
2.549999999999999822e+00  1.094099999999999934e-01  5.109000000000000694e-03
2.600000000000000089e+00  1.107500000000000012e-01  5.047999999999999536e-03
2.649999999999999911e+00  1.068100000000000022e-01  4.987000000000000113e-03
2.700000000000000178e+00  9.768999999999999906e-02  4.925999999999999823e-03
2.750000000000000000e+00  9.138000000000000289e-02  4.864999999999999533e-03
2.799999999999999822e+00  9.483999999999999375e-02  4.804000000000000110e-03
2.850000000000000089e+00  9.593999999999999750e-02  4.742999999999999820e-03
2.899999999999999911e+00  9.836000000000000298e-02  4.682000000000000398e-03
2.950000000000000178e+00  8.927999999999999825e-02  4.620999999999999240e-03
3.000000000000000000e+00  8.830999999999999961e-02  4.559999999999999817e-03
3.049999999999999822e+00  8.896999999999999353e-02  4.506999999999999722e-03
3.100000000000000089e+00  8.619999999999999885e-02  4.453999999999999626e-03
3.149999999999999911e+00  8.673000000000000154e-02  4.400999999999999530e-03
3.200000000000000178e+00  8.204000000000000181e-02  4.347999999999999435e-03
3.250000000000000000e+00  8.848000000000000309e-02  4.295000000000000207e-03
3.299999999999999822e+00  8.278000000000000635e-02  4.242000000000000111e-03
3.350000000000000089e+00  8.172999999999999710e-02  4.189000000000000015e-03
3.399999999999999911e+00  8.372000000000000275e-02  4.135999999999999920e-03
3.450000000000000178e+00  8.218000000000000305e-02  4.082999999999999824e-03
3.500000000000000000e+00  7.337000000000000466e-02  4.029999999999999728e-03
3.549999999999999822e+00  7.037000000000000199e-02  3.993000000000000022e-03
3.600000000000000089e+00  6.958000000000000296e-02  3.955999999999999447e-03
3.649999999999999911e+00  6.142000000000000237e-02  3.918999999999999741e-03
3.700000000000000178e+00  5.736000000000000126e-02  3.881999999999999600e-03
3.750000000000000000e+00  5.521000000000000213e-02  3.844999999999999894e-03
3.799999999999999822e+00  5.623000000000000220e-02  3.808000000000000187e-03
3.850000000000000089e+00  5.337000000000000077e-02  3.771000000000000046e-03
3.899999999999999911e+00  4.800999999999999712e-02  3.733999999999999906e-03
3.950000000000000178e+00  4.914999999999999925e-02  3.696999999999999766e-03
4.000000000000000000e+00  4.372000000000000192e-02  3.660000000000000059e-03
4.049999999999999822e+00  3.984999999999999654e-02  3.628000000000000148e-03
4.099999999999999645e+00  3.830000000000000071e-02  3.596000000000000238e-03
4.150000000000000355e+00  3.715000000000000246e-02  3.563999999999999894e-03
4.200000000000000178e+00  3.821999999999999703e-02  3.531999999999999983e-03
4.250000000000000000e+00  3.599999999999999728e-02  3.500000000000000073e-03
4.299999999999999822e+00  3.824999999999999928e-02  3.468000000000000162e-03
4.349999999999999645e+00  3.860999999999999849e-02  3.436000000000000252e-03
4.400000000000000355e+00  3.588000000000000217e-02  3.403999999999999908e-03
4.450000000000000178e+00  3.878999999999999809e-02  3.371999999999999997e-03
4.500000000000000000e+00  3.606999999999999790e-02  3.340000000000000087e-03
4.549999999999999822e+00  3.518999999999999906e-02  3.314000000000000105e-03
4.599999999999999645e+00  3.305000000000000299e-02  3.288000000000000124e-03
4.650000000000000355e+00  3.447000000000000064e-02  3.261999999999999709e-03
4.700000000000000178e+00  3.352999999999999731e-02  3.235999999999999727e-03
4.750000000000000000e+00  3.232000000000000151e-02  3.210000000000000180e-03
4.799999999999999822e+00  2.968000000000000152e-02  3.184000000000000198e-03
4.849999999999999645e+00  2.870999999999999941e-02  3.158000000000000217e-03
4.900000000000000355e+00  2.896999999999999922e-02  3.131999999999999802e-03
4.950000000000000178e+00  2.572999999999999940e-02  3.105999999999999820e-03
5.000000000000000000e+00  2.535000000000000100e-02  3.079999999999999839e-03
5.049999999999999822e+00  2.903999999999999984e-02  3.059000000000000087e-03
5.099999999999999645e+00  2.571999999999999981e-02  3.037999999999999902e-03
5.150000000000000355e+00  2.648000000000000007e-02  3.016999999999999717e-03
5.200000000000000178e+00  2.203000000000000097e-02  2.995999999999999965e-03
5.250000000000000000e+00  2.321000000000000146e-02  2.975000000000000214e-03
5.299999999999999822e+00  1.984999999999999959e-02  2.954000000000000029e-03
5.349999999999999645e+00  1.604999999999999830e-02  2.933000000000000277e-03
5.400000000000000355e+00  1.847000000000000031e-02  2.912000000000000092e-03
5.450000000000000178e+00  2.117000000000000132e-02  2.890999999999999907e-03
5.500000000000000000e+00  1.495999999999999934e-02  2.870000000000000155e-03
5.549999999999999822e+00  1.410999999999999928e-02  2.851000000000000235e-03
5.599999999999999645e+00  1.524999999999999967e-02  2.832000000000000316e-03
5.650000000000000355e+00  1.598000000000000115e-02  2.812999999999999962e-03
5.700000000000000178e+00  1.796999999999999986e-02  2.794000000000000043e-03
5.750000000000000000e+00  1.711000000000000021e-02  2.775000000000000123e-03
5.799999999999999822e+00  1.186000000000000075e-02  2.756000000000000203e-03
5.849999999999999645e+00  1.671999999999999875e-02  2.737000000000000283e-03
5.900000000000000355e+00  1.862000000000000113e-02  2.717999999999999930e-03
5.950000000000000178e+00  1.562000000000000020e-02  2.699000000000000010e-03
6.000000000000000000e+00  1.559999999999999928e-02  2.680000000000000090e-03
6.049999999999999822e+00  1.502000000000000036e-02  2.665500000000000334e-03
6.099999999999999645e+00  1.271000000000000081e-02  2.651000000000000145e-03
6.150000000000000355e+00  1.297000000000000063e-02  2.636499999999999955e-03
6.200000000000000178e+00  1.196999999999999974e-02  2.622000000000000199e-03
6.250000000000000000e+00  1.299999999999999940e-02  2.607500000000000009e-03
6.299999999999999822e+00  1.150999999999999940e-02  2.593000000000000253e-03
6.349999999999999645e+00  1.120999999999999948e-02  2.578500000000000063e-03
6.400000000000000355e+00  1.027999999999999921e-02  2.563999999999999873e-03
6.450000000000000178e+00  1.005999999999999950e-02  2.549500000000000117e-03
6.500000000000000000e+00  1.348000000000000066e-02  2.534999999999999927e-03
6.549999999999999822e+00  9.769999999999999171e-03  2.520500000000000171e-03
6.599999999999999645e+00  1.071000000000000077e-02  2.506000000000000415e-03
6.650000000000000355e+00  1.071000000000000077e-02  2.491500000000000225e-03
6.700000000000000178e+00  9.280000000000000054e-03  2.477000000000000035e-03
6.750000000000000000e+00  9.339999999999999344e-03  2.462500000000000279e-03
6.799999999999999822e+00  8.540000000000000716e-03  2.448000000000000089e-03
6.849999999999999645e+00  7.250000000000000368e-03  2.433500000000000333e-03
6.900000000000000355e+00  5.219999999999999814e-03  2.419000000000000143e-03
6.950000000000000178e+00  6.409999999999999899e-03  2.404499999999999953e-03
7.000000000000000000e+00  8.619999999999999191e-03  2.390000000000000197e-03
7.049999999999999822e+00  9.169999999999999332e-03  2.379500000000000105e-03
7.099999999999999645e+00  6.810000000000000081e-03  2.369000000000000446e-03
7.150000000000000355e+00  7.740000000000000352e-03  2.358499999999999919e-03
7.200000000000000178e+00  6.539999999999999807e-03  2.348000000000000261e-03
7.250000000000000000e+00  7.660000000000000142e-03  2.337500000000000168e-03
7.299999999999999822e+00  5.080000000000000314e-03  2.327000000000000075e-03
7.349999999999999645e+00  3.880000000000000202e-03  2.316500000000000416e-03
7.400000000000000355e+00  7.009999999999999738e-03  2.305999999999999890e-03
7.450000000000000178e+00  7.210000000000000263e-03  2.295500000000000231e-03
7.500000000000000000e+00  5.989999999999999665e-03  2.285000000000000139e-03
7.549999999999999822e+00  7.190000000000000210e-03  2.274500000000000046e-03
7.599999999999999645e+00  3.629999999999999980e-03  2.264000000000000387e-03
7.650000000000000355e+00  4.749999999999999882e-03  2.253499999999999861e-03
7.700000000000000178e+00  4.599999999999999922e-03  2.243000000000000202e-03
7.750000000000000000e+00  5.349999999999999721e-03  2.232500000000000109e-03
7.799999999999999822e+00  4.530000000000000172e-03  2.222000000000000017e-03
7.849999999999999645e+00  6.620000000000000016e-03  2.211500000000000358e-03
7.900000000000000355e+00  5.100000000000000366e-03  2.200999999999999832e-03
7.950000000000000178e+00  2.749999999999999840e-03  2.190500000000000173e-03
8.000000000000000000e+00  4.429999999999999910e-03  2.180000000000000080e-03
8.050000000000000711e+00  4.519999999999999712e-03  2.168499999999999855e-03
8.099999999999999645e+00  5.120000000000000419e-03  2.157000000000000063e-03
8.150000000000000355e+00  5.689999999999999745e-03  2.145499999999999838e-03
8.199999999999999289e+00  1.850000000000000082e-03  2.134000000000000046e-03
8.250000000000000000e+00  1.690000000000000096e-03  2.122500000000000255e-03
8.300000000000000711e+00  1.930000000000000075e-03  2.111000000000000029e-03
8.349999999999999645e+00  1.350000000000000071e-03  2.099500000000000238e-03
8.400000000000000355e+00  5.571340000000000363e-04  2.088000000000000012e-03
8.449999999999999289e+00  2.099999999999999870e-03  2.076500000000000221e-03
8.500000000000000000e+00  1.990000000000000015e-03  2.064999999999999995e-03
8.550000000000000711e+00  2.520000000000000104e-03  2.053499999999999770e-03
8.599999999999999645e+00  3.419999999999999863e-03  2.041999999999999978e-03
8.650000000000000355e+00  3.469999999999999994e-03  2.030499999999999753e-03
8.699999999999999289e+00  5.429999999999999931e-03  2.018999999999999961e-03
8.750000000000000000e+00  5.369999999999999774e-03  2.007499999999999736e-03
8.800000000000000711e+00  4.599999999999999922e-03  1.995999999999999944e-03
8.849999999999999645e+00  1.180000000000000059e-03  1.984500000000000153e-03
8.900000000000000355e+00  1.539999999999999919e-03  1.972999999999999927e-03
8.949999999999999289e+00  3.919999999999999873e-03  1.961500000000000136e-03
9.000000000000000000e+00  4.590000000000000330e-03  1.949999999999999910e-03
9.050000000000000711e+00  2.820000000000000024e-03  1.939999999999999667e-03
9.099999999999999645e+00  1.959999999999999937e-03  1.930000000000000075e-03
